sub,month,treshold_hid
71,2,0.06697256750708638
71,3,0.04917826644785916
71,4,0.07723280918991496
71,5,0.1394026555273758
71,6,0.15797678651350142
71,7,0.127774811278532
71,8,0.13181059227211697
71,9,0.16737341488885574
71,10,0.26811970759361475
71,11,0.2965673877368343
71,12,0.21452412352677905
72,1,0.28257016266460105
72,2,0.15607213013168086
72,3,0.13735659178931062
72,4,0.30703120061967465
72,5,0.5965347792408985
72,6,0.6644969790859798
72,7,0.4735603408210689
72,8,0.46194887683965913
72,9,0.6824328427575523
72,10,1.0557397366382648
72,11,1.1924337722695584
72,12,0.6071423702556158
73,1,0.02872648454993282
73,2,0.019765338110165696
73,3,0.0426492789968652
73,4,0.1740252575011196
73,5,0.3944039408866995
73,6,0.28512386923421407
73,7,0.15558190774742497
73,8,0.18685821764442453
73,9,0.370208329601433
73,10,0.5405965069413344
73,11,0.5239587998208688
73,12,0.10272558889386475
74,1,0.35560495305483736
74,2,0.14754660498026942
74,3,0.07012284664580215
74,4,0.11218479793169138
74,5,0.3279296775071438
74,6,0.5482855354469995
74,7,0.40002177166961495
74,8,0.2825958361681861
74,9,0.36836097428221526
74,10,0.6252801741733568
74,11,1.0733515852496938
74,12,0.7598356238944074
75,1,0.10708324324324323
75,2,0.08053189189189187
75,3,0.06262054054054052
75,4,0.10912
75,5,0.17408216216216213
75,6,0.18049945945945944
75,7,0.1355805405405405
75,8,0.15412756756756754
75,9,0.16866378378378372
75,10,0.29898378378378376
75,11,0.27117837837837827
75,12,0.1970529729729729
76,1,0.17627987247608923
76,2,0.14546907545164717
76,3,0.11293823591923485
76,4,0.11930116896918166
76,5,0.16644624867162594
76,6,0.15795927736450577
76,7,0.12630070138150895
76,8,0.17650635494155154
76,9,0.17544739638682252
76,10,0.2795711795961742
76,11,0.27060063761955355
76,12,0.26238299681190214
77,1,0.3530864246643461
77,2,0.14981442068622575
77,3,0.07102221780208852
77,4,0.11202784684236698
77,5,0.30152998508204865
77,6,0.5300109398309298
77,7,0.3918504226752859
77,8,0.28247558428642466
77,9,0.35448274490303333
77,10,0.5989461959224266
77,11,1.0019779214321232
77,12,0.7431323719542515
78,1,0.015254068965517242
78,2,0.00896534068965517
78,3,0.0062496397241379315
78,4,0.024076402758620687
78,5,0.11975993379310344
78,6,0.06546974896551724
78,7,0.03472564965517241
78,8,0.034422951724137923
78,9,0.11033816275862068
78,10,0.32383911724137926
78,11,0.3286775172413793
78,12,0.04923012413793103
79,1,0.2380994544037412
79,2,0.13401091192517536
79,3,0.10762625097427903
79,4,0.20663943881527672
79,5,0.4199233047544817
79,6,0.4942241621200311
79,7,0.36634138737334376
79,8,0.342300233826968
79,9,0.4898020265003897
79,10,0.7483061574434918
79,11,0.8630796570537801
79,12,0.5129452844894777
80,1,0.1525702309859155
80,2,0.10369622535211268
80,3,0.08767369014084507
80,4,0.14571177464788732
80,5,0.3677476056338028
80,6,0.3537451267605633
80,7,0.23930771830985917
80,8,0.24271504225352108
80,9,0.39180980281690136
80,10,0.7385942535211268
80,11,0.6935039999999999
80,12,0.32682726760563374
81,1,0.026175794046661306
81,2,0.013470197908286402
81,3,0.009472720836685438
81,4,0.013306851166532583
81,5,0.023530967015285603
81,6,0.029789580048270314
81,7,0.022288141592920353
81,8,0.01992830249396621
81,9,0.027333818181818178
81,10,0.046458593724859214
81,11,0.0736450522928399
81,12,0.05042826709573612
82,1,0.13676674145440149
82,2,0.09310834367163781
82,3,0.07220677312920679
82,4,0.08162787382869204
82,5,0.1640539527517487
82,6,0.1583752936518411
82,7,0.12676637191500592
82,8,0.12193152962914082
82,9,0.1410542431041309
82,10,0.24990661211561302
82,11,0.26731888610267907
82,12,0.19423750824864724
83,1,0.1348937567776917
83,2,0.10333868319132453
83,3,0.08766487993803251
83,4,0.15309062742060414
83,5,0.2590393803253292
83,6,0.2690981874515879
83,7,0.21232582494190547
83,8,0.20542587141750582
83,9,0.2630816421378776
83,10,0.46876852052672346
83,11,0.44104824167312157
83,12,0.2995423082881487
84,1,0.35094463431305534
84,2,0.15253369788106627
84,3,0.06789063568010936
84,4,0.10152836637047163
84,5,0.2662572795625427
84,6,0.49388161312371837
84,7,0.3757484620642515
84,8,0.27031250854408745
84,9,0.3129120984278879
84,10,0.5513142857142858
84,11,0.9267576213260423
84,12,0.7206102529049897
85,1,0.2795233432835821
85,2,0.24800410746268656
85,3,0.24991264477611938
85,4,0.35057767164179104
85,5,0.6565110447761194
85,6,0.5451711044776119
85,7,0.3092604179104478
85,8,0.3517898507462687
85,9,0.6496764179104477
85,10,1.175684776119403
85,11,1.100761791044776
85,12,0.5168009552238806
86,1,0.27251532467532463
86,2,0.25259220779220776
86,3,0.24837194805194804
86,4,0.30504311688311686
86,5,0.43264831168831164
86,6,0.3715324675324675
86,7,0.2589506493506493
86,8,0.2483781818181818
86,9,0.44145038961038957
86,10,0.8473558441558442
86,11,0.8579532467532467
86,12,0.4945246753246753
87,1,0.342421349599695
87,2,0.3088067098741898
87,3,0.3057268776210446
87,4,0.3195778879146016
87,5,0.41337277926038885
87,6,0.3915998475028593
87,7,0.3067479984750286
87,8,0.31546046511627907
87,9,0.4495237514296607
87,10,0.7354211208539839
87,11,0.772774380480366
87,12,0.5712182996568814
88,1,0.2920299850074962
88,2,0.2635610194902549
88,3,0.252895952023988
88,4,0.3274218890554722
88,5,0.5169175412293853
88,6,0.49655172413793097
88,7,0.3007664167916042
88,8,0.2884605697151424
88,9,0.5458326836581708
88,10,0.9654404797601199
88,11,1.001767916041979
88,12,0.5754674662668665
89,1,0.3565096875
89,2,0.156650625
89,3,0.073953
89,4,0.09946124999999999
89,5,0.24244312499999993
89,6,0.4523512499999999
89,7,0.360534375
89,8,0.256095
89,9,0.28414125
89,10,0.5000653125
89,11,0.8386874999999999
89,12,0.6940181249999999
90,1,0.0986282124958236
90,2,0.057030350818576686
90,3,0.04509802873371199
90,4,0.07294781156030739
90,5,0.13847238222519212
90,6,0.15884263280988975
90,7,0.11956426328098897
90,8,0.12300958235883729
90,9,0.15107731373204142
90,10,0.23080895422652856
90,11,0.2520986301369863
90,12,0.1732330103575008
91,1,0.24344901818181816
91,2,0.13484055272727272
91,3,0.10319616
91,4,0.18047022545454544
91,5,0.3838254545454546
91,6,0.4624546909090909
91,7,0.3556119272727273
91,8,0.32038167272727275
91,9,0.43796945454545455
91,10,0.6809157818181817
91,11,0.8135214545454544
91,12,0.526464
