sub,month,treshold_hid,sub,month
29,6,1.9958399999999998,29,6
29,7,1.1662747826086957,29,7
29,8,0.5362059130434783,29,8
29,9,0.6023269565217392,29,9
29,10,1.905433043478261,29,10
29,11,3.0225599999999995,29,11
29,12,2.577349565217391,29,12
30,1,2.325935342465753,30,1
30,2,2.1521884931506845,30,2
30,3,2.4807452054794523,30,3
30,4,3.2133698630136984,30,4
30,5,3.1018783561643835,30,5
30,6,2.41221698630137,30,6
30,7,1.507384109589041,30,7
30,8,0.725925698630137,30,8
30,9,0.7779905753424657,30,9
30,10,2.1394060273972606,30,10
30,11,3.435169315068493,30,11
30,12,3.214316712328767,30,12
31,1,1.2655403389830508,31,1
31,2,1.019617627118644,31,2
31,3,1.485103728813559,31,3
31,4,2.1023511864406776,31,4
31,5,1.9650386440677967,31,5
31,6,1.4337518644067795,31,6
31,7,0.7953681355932203,31,7
31,8,0.2749179661016949,31,8
31,9,0.2879560677966102,31,9
31,10,1.0507606779661018,31,10
31,11,1.9979389830508474,31,11
31,12,1.6371091525423727,31,12
32,1,1.618236905222437,32,1
32,2,1.2982393810444872,32,2
32,3,1.7854885880077371,32,3
32,4,2.2074615087040614,32,4
32,5,1.9897067698259185,32,5
32,6,1.5568711798839459,32,6
32,7,0.9135671953578337,32,7
32,8,0.32651512572533853,32,8
32,9,0.2010095164410058,32,9
32,10,1.066914661508704,32,10
32,11,2.080618955512573,32,11
32,12,1.9512696324951644,32,12
33,1,0.9463620618556701,33,1
33,2,0.9125938144329897,33,2
33,3,1.2561154639175258,33,3
33,4,1.913962886597938,33,4
33,5,1.7179051546391753,33,5
33,6,1.1857484536082474,33,6
33,7,0.597159587628866,33,7
33,8,0.20312412371134023,33,8
33,9,0.3387909278350516,33,9
33,10,1.2561154639175256,33,10
33,11,2.033913402061856,33,11
33,12,1.4237690721649485,33,12
34,1,1.2656566507177032,34,1
34,2,1.0744742583732059,34,2
34,3,1.6020516746411486,34,3
34,4,2.422093779904306,34,4
34,5,2.1108057416267947,34,5
34,6,1.4409645933014352,34,6
34,7,0.7415517703349284,34,7
34,8,0.2632237320574163,34,8
34,9,0.40933205741626794,34,9
34,10,1.6695732057416266,34,10
34,11,2.4916822966507177,34,11
34,12,1.8319004784688997,34,12
35,1,1.266206896551724,35,1
35,2,1.1269241379310346,35,2
35,3,1.5869296551724137,35,3
35,4,2.3028579310344828,35,4
35,5,2.1017544827586208,35,5
35,6,1.422620689655172,35,6
35,7,0.7588303448275862,35,7
35,8,0.2379575172413793,35,8
35,9,0.3440656551724138,35,9
35,10,1.3587144827586206,35,10
35,11,2.2993572413793104,35,11
35,12,1.8470234482758623,35,12
36,1,1.0612448780487806,36,1
36,2,0.8363941463414635,36,2
36,3,1.258700487804878,36,3
36,4,1.9407336585365855,36,4
36,5,1.8200897560975606,36,5
36,6,1.2827239024390242,36,6
36,7,0.6886712195121951,36,7
36,8,0.22925502439024392,36,8
36,9,0.2801045853658536,36,9
36,10,1.0753639024390245,36,10
36,11,1.8608663414634146,36,11
36,12,1.446251707317073,36,12
37,1,1.2414838938053099,37,1
37,2,1.1046966371681415,37,2
37,3,1.5672042477876105,37,3
37,4,2.2961373451327436,37,4
37,5,2.1160353982300886,37,5
37,6,1.4085493805309737,37,6
37,7,0.7388346902654866,37,7
37,8,0.23568849557522123,37,8
37,9,0.35160212389380524,37,9
37,10,1.4187185840707968,37,10
37,11,2.3404077876106193,37,11
37,12,1.8138647787610618,37,12
38,1,1.051044985835694,38,1
38,2,0.9585260056657224,38,2
38,3,1.4188691218130312,38,3
38,4,2.136625495750708,38,4
38,5,1.9252759206798866,38,5
38,6,1.2258764872521244,38,6
38,7,0.6284682152974503,38,7
38,8,0.20726209631728043,38,8
38,9,0.3646545042492918,38,9
38,10,1.4041835694050993,38,10
38,11,2.243952407932011,38,11
38,12,1.5914243626062323,38,12
39,1,1.1551375609756096,39,1
39,2,0.9933424390243903,39,2
39,3,1.5301463414634147,39,3
39,4,2.343992195121951,39,4
39,5,1.9878087804878048,39,5
39,6,1.361748292682927,39,6
